一一 , 表一個接一個沒有間斷。
丸 , 普通名詞。體積小的球狀物或接近球狀物的物體的單位。
丸 , 計算球狀物或接近球狀物的物體的單位。
丸 , 計算體積小的球狀物的單位。
丹 , 地方詞。國名，北歐國家，首都為哥本哈根。「丹麥」的簡省。
丹 , 專有名詞。戰國末年燕國的太子，為燕王喜的兒子。
丹 , 專有名詞。治理丹麥的政府。
丹 , 形容比喻情感熱烈且真誠的。
丹 , 形容顏色為紅的，像鮮血、蘋果、春聯的。
丹 , 普通名詞。人肚臍下一寸半至三寸的部位。「丹田」的簡省。
丹 , 普通名詞。依照特定成分製成的顆粒狀或粉末狀的中藥。常用接尾詞。
丹 , 普通名詞。道教修練術中以硃砂所燒煉成的以求長生不老的藥。
主人 , 普通名詞。擁有支配特定對象權力的人。
主人 , 普通名詞。特定對象所有權的擁有者。
主人 , 普通名詞。邀請並負責招待賓客的人，相對於客人。
主任 , 形容在後述組織中職權最高的。
主任 , 普通名詞。特定機構或部門的主要負責人。
主 , 前述對象會影響並導致後述事件的發生，通常用於占卜或命理。
主力 , 普通名詞。以技術性方式控制股價漲跌變化的大戶。
主力 , 普通名詞。特定團體中負責完成重要工作的主要對象。
主動 , 形容不需其他外力推動就開始做特定事件。
主 , 對特定對象提出後述看法並以道理支持。
主導 , 發揮影響力以領導後述事物發展。
主席 , 普通名詞。主持會議的人。
主席 , 普通名詞。特定國家機關或特定組織的最高領導人。
主張 , 對特定對象提出後述看法並以道理支持。
主張 , 普通名詞。對特定對象持有的看法。
主 , 形容在相關對象中最重要的。
主從 , 形容一種由主機及工作站組合而成的網路架構，主機扮演著資源提供者的角色，工作站可由主機中擷取資源，享受主機提供的各種服務。
主從 , 形容主體及其附屬間的相互關係。
主從 , 形容句子結構，包含有主句及其從句的。
主 , 承擔管理或執行特定事件的責任。
主持 , 主導並負責後述計畫。
主持 , 掌控後述典禮或活動的程序。
主持 , 普通名詞。主要負責引導後述事件進行的人。
主持 , 普通名詞。掌控後述典禮或活動的程序。
主持 , 能夠堅持後述原則並替弱勢者爭取權力。
主 , 接尾詞。經歷前述事件的人。
主 , 普通名詞。國家唯一且通常由世襲制度產生的統治者。常用接尾詞。
主 , 普通名詞。對特定事件的決定權，常用於否定。
主 , 普通名詞。擁有支配特定對象權力的人。
主 , 普通名詞。特定宗教對其信仰的神的稱呼，通常是基督教或回教。
主 , 普通名詞。特定對象所有權的擁有者。
主 , 普通名詞。邀請並負責招待賓客的人，相對於客人。
主治 , 主要用於治療後述病症。
主治 , 形容專長治療的範圍。
主治 , 負責主要的看診與治療的工作。
主義 , 普通名詞。以前述主張及規範為主的理論系統。
主義 , 普通名詞。以前述看法為行為模式依據的思想。
主義 , 普通名詞。高中的科目之一，內容為孫中山的政治主張。「三民主義」的簡省。
主要 , 形容在相關對象中最重要的。
主角 , 普通名詞。有情節的故事作品中的主要角色。
主角 , 普通名詞。比喻在特定事件中具有主要地位的特定對象。
主辦 , 主導並負責特定活動的事務。
主辦 , 普通名詞。主導並負責特定活動的事務的人。
主題 , 普通名詞。事件內容的中心思想。
主題 , 普通名詞。句子中的主要訊息，通常位於句首。
乃 , 前述對象連接的是後述對象，表以後述事物說明前述事物的屬性。
乃 , 前述對象連接的是後述對象，表兩者指涉相同。
乃父 , 代指前述指涉對象的爸爸。
乃父 , 你的父親。通常用於父親對子女的自稱。
乃至 , 關聯連接詞。連接語意相似的詞組，用來突出最後一項。
乃 , 表因前述事情而導致後述事件。
久 , 專有名詞。姓。
久 , 形容事件持續的時間間隔大。
久而久之 , 表經過一段長時間而逐漸改變。
久遠 , 形容特定事件的發生時間離現在很遠。
之 , 代指特定對象。
之前 , 位置詞。位置或順序在另一物體的前面。
之前 , 早於特定參考時間點或事件。
之前 , 時間詞。在時間參考點之前的時段。
之外 , 不在前述對象所包含的空間範圍。
之外 , 不在前述的機構或領域範圍。
之外 , 將前述對象排除。常用「除…之外」。
之外 , 已知前述對象包含在所屬範圍。常用「除…之外」。
之後 , 位置詞。位置或順序在另一物體的後面。
之後 , 時間詞。晚於現在或前述事件的時段。
之後 , 晚於特定時間參考點或事件。
之 , 沒有固定的指涉，虛指。
之 , 結構助詞。表一般的修飾關係，用於修飾語和中心語間。
之 , 結構助詞。表使謂語具名詞性，用於主語和謂語間。
之 , 結構助詞。表領屬關係，用於修飾語和中心語間。
乍 , 專有名詞。姓。
乍 , 表事件的發生令人感到意外。
乍 , 表事件處於整體發展的初期。
乍 , 鼓起勇氣。常與「膽子」連用。
乎 , 引介事件的施事者。
乎 , 表疑問的語氣。
乏 , 形容特定對象可發揮的作用已經用盡。
乏 , 所需要的特定對象不足夠。
乏 , 預期的特定對象不存在。
乖 , 互相對立不一致。
乖 , 形容從以前失敗或錯誤的經驗獲得教訓。常用「學…乖」。
乖 , 形容行為舉止符合說話者期待。
乘 , 中國古代以四匹馬拉的馬車的單位。
乘 , 利用特定時機獲得競爭上的優勢。
乘坐 , 容納以坐姿使用的後述人數，用於交通工具與遊樂器材。
乘坐 , 搭乘有座位的遊樂設施。
乘 , 容器容納事物或容器所能容納事物的量。
乘 , 把後述物體放進容器中，通常用於食物或液體。
乘 , 搭乘有座位的遊樂設施。
乘機 , 搭乘飛機。
乘機 , 表利用不容易得到的機會。
乘 , 比喻以後述對象為媒介進行特定事件。
乘 , 用一個數對另一個數做乘法運算。
乘 , 藉著後述對象的動力移動。
乘 , 計算中國古代以四匹馬拉的馬車的單位。
乘 , 計算牲畜的單位，通常用於馬、牛等。
乙 , 代指沒有指名的對象中的第二個。
乙 , 數目字。整數，最小的正整數。
乙 , 普通名詞。五等第成績中第二的一等。
乙 , 普通名詞。天干的第二位。
九 , 序數。順序排在第九。
九 , 數目字。整數，為八加一的和。
乞 , 以低姿態請求他人給予金錢或特定事物。
乞 , 將自己所擁有的事物當作恩惠拿出來給他人。
乞 , 專有名詞。姓。
乞 , 普通名詞。靠以低姿態請求他人給予食物或金錢維生的人。
乞求 , 以非常卑微的態度請他人幫忙。
乞 , 特定節慶中，民眾以擲筊方式向神明求取象徵帶來好運的特定物品。
乞討 , 以低姿態請求他人給予金錢或特定事物。
也 , 句中的停頓，用來引起下文。
也好 , 表示雖然與說話者的原意不同，但是結果還可以同意，接受程度比「也罷」還高。
也好 , 連用兩個或更多的事件或狀態，表示結果都相同。
也 , 對等連接詞。連接語意相似的詞組或子句，表選擇關係或並列關係。
也罷 , 說話者表示事情、狀況與自己的預期不同，但妥協接受。
也罷 , 連用兩個或更多的事件或狀態，表示結果都相同。
也 , 表轉折。
也 , 表預期會改變的情況維持不變，通常用於轉折語氣。
也許 , 表猜測。
也 , 關聯連接詞。連接兩個有關連性的事件。
乳 , 形容處於成長階段初期的。
乳 , 普通名詞。哺乳動物乳腺匯集的部份。
乳 , 普通名詞。哺乳動物為了哺育後代而產生的乳汁。常用接尾詞。
乳 , 普通名詞。接尾詞。經過加工合成具有特定功能的濃稠液態物質。
乾 , 以乾杯的方式將後述份量的酒喝完。
乾 , 專有名詞。清高宗的年號。「乾隆」的縮寫。
乾 , 形容器官表面因體液分泌不足而缺乏滋潤。
乾 , 形容比喻因過度使用金錢而沒有剩餘的。
乾 , 形容沒有水份的或含水份少的。
乾 , 形容經雙方認可而沒有法律效力的親屬關係。
乾旱 , 形容長時間不下雨而缺水的。
乾旱 , 普通名詞。長時間不下雨而缺水的情形。
乾 , 普通名詞。接尾詞。加工製成的沒有水份的或含水份少的食品。
乾 , 普通名詞。水墨畫筆勢的一種，含墨量少。
乾淨 , 形容事件處理妥善，沒有衍生其它不必要的事端。
乾淨 , 形容比喻不咒罵他人的或不說不雅的言語的。
乾淨 , 形容比喻不因職務或其它關係可方便取得的財物中取得不當利益，常與「手腳」連用。
乾淨 , 形容比喻思想純淨沒雜念的。
乾淨 , 形容比喻文章用詞造句簡單扼要的。
乾淨 , 形容比喻沒有做過違法事件的。
乾淨 , 形容比喻沒有鬼魂出沒的。常用於否定句。
乾淨 , 形容比喻線條清楚或圖案簡單不複雜的。
乾淨 , 形容比喻進行賽局時不以不正當手段取得勝利的。
乾淨 , 形容特定對象完全沒有剩下的。
乾淨 , 形容特定對象有洗淨後才有的香味。
乾淨 , 形容特定對象看起來簡單清楚不雜亂。
乾淨 , 形容音質清晰且音色明亮。
乾淨 , 形容香味淡而不膩且使聞者有純淨的感覺。
乾 , 表不使用任何水份的。
乾 , 表比喻只做後述事件而沒有其他的行動。
乾隆 , 專有名詞。清高宗，愛新覺羅弘歷，為清朝第四位皇帝。
乾隆 , 專有名詞。清高宗的年號。
亂 , 以言語或行為打擾或戲弄特定對象。
亂 , 使特定對象心思情緒無法不安定。
亂 , 比喻使兩件以上的事情無法釐清。
亂 , 表隨自己的意思做後述動作，不受其他限制的影響，常用於負面事件。
亂 , 違反後述規範。
了 , 時態標記。表事件的結束或完整性，置於動詞後。
了 , 時態標記。表前述對象對該事件或動作有實現的能力。
了 , 結束。
了 , 表示變化或出現新的情況，置於句末或句中停頓處。
了解 , 清楚地知道。
了解 , 調查以獲得特定事件的資訊。
予 , 代動詞，後接含移轉動作的名詞事件。
予 , 代指說話者。
予以 , 將其，已虛化的承接用法。
予以 , 提供，只限於抽象事物。
予 , 前述對象將特定事物所有權移轉到後述對象。
予 , 前述對象製造新的印象，並提供讓後述對象體驗。
予取予求 , 想要多少就能得到多少。
